widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
201,0,text,(Name of Corporation Prior to Conversion),entity.name,high,Pre-conversion business-corporation name. Matches 13-C MRSA usage of entity.name across other corporate forms.
202,0,text,FIRST: ... and the name it proposes to use in the State of Maine is,conversion.new_entity.name,high,"Post-conversion nonprofit-entity name. Must comply with 13-B MRSA naming requirements (e.g., a proper nonprofit corporate name; no LLC/LP suffix). Matches MBCA-21 conversion.new_entity.name."
203,0,text,THIRD: ... is attached as Exhibit ___,conversion.new_entity_provisions_exhibit_letter,high,Inline exhibit letter for the attached Articles of Incorporation (Form MNPCA-6-1) which must accompany this filing. Matches MBCA-21 conversion.new_entity_provisions_exhibit_letter.
204,0,text,FOURTH: The effective date of the articles of nonprofit conversion (if other than the date of filing) is ___,conversion.future_effective_date,high,"Optional future effective date; if blank, filing date applies. Matches MBCA-21 conversion.future_effective_date."
205,0,text,DATED ___,filing.date_signed,high,Date of signature.
206,0,text,*By ___ (signature of an officer or other duly authorized representative) / (type or print name and capacity),filing.signer.printed_name_and_capacity,high,Combined name+capacity widget. Shape D (matches MBCA-11 / MLLC-12 / MBCA-21). Form footnote requires 'an officer or other duly authorized representative' per 13-C MRSA §933.1.
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,1,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2 (likely populated with the bundled MNPCA-6-1 entity name for SOS routing — same bundling pattern as MBCA-21).
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,'24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees (base $145 per page-0 header plus expedite premium).
Name of contact person,1,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,1,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,1,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Annual-report reminder email (applies to surviving nonprofit entity post-conversion).
Name of attested copy recipient,1,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
