widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Name of Limited Liability Partnership),entity.name,high,LLP name at top of body. Domestic LLP — uses entity.name (not entity.home_jurisdiction_name).
Text2,0,text,FIRST: On ___ (date) the Secretary of State filed a document delivered for filing by the undersigned limited liability partnership entitled: ___,correction.original_filing_date,high,"Single-line widget for the date the original (incorrect) document was filed. The blank for the document's title ('partnership entitled: ___', e.g., 'Certificate of Limited Liability Partnership' / 'Certificate of Amendment') is visually present but has NO AcroForm widget on this template — see open_questions for upstream template bug."
Text3,0,text,THIRD: The inaccuracy or defect to be corrected is described as follows:,correction.defect_description,high,Large multi-line text box (rect ~118pt high) for free-text description of the inaccuracy or defect. SECOND ('Said document is an inaccurate record...') is recital-only and has no widget.
Text4,0,text,FOURTH: The portion of the said document to be corrected is corrected to read in its entirety as follows:,correction.corrected_text,high,Large multi-line text box (rect ~114pt high) for the corrected text that replaces the defective portion of the original document. The drafter's swap of Text3/Text4 is corrected here.
Text5,1,text,DATED ___,filing.date_signed,high,Date the correction is signed.
Text6,1,text,Partner(s)* ... (type or print name and capacity),filing.signer.printed_name_and_capacity,high,Combined name+capacity widget for individual-partner signature. Shape D. Footnote *Certificate MUST be signed by at least one partner OR by any duly authorized person (31 MRSA §826.1.B or 2). Used when the signer is a natural-person partner.
Text7,1,text,For Partner(s) which are Entities — Name of Entity ___,filing.signer_entity.name,high,Name of the entity-partner when the signer is a corporate/LLC partner rather than a natural person. Parallel block to the individual-partner block above. Same shape as NP_MNPCA-6's incorporator_entity_N.name and MLPA-6's general_partner_entity_N.name.
Text8,1,text,For Partner(s) which are Entities — By ___ (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,"Combined name+capacity of the natural person signing on behalf of the entity-partner. Same primitive as the per-officer-signer-pattern's `<role>_entity_N.signer_printed_name_and_capacity`, applied here under filing.signer_entity.* (since the filer is an existing entity, not a formation-time role-keyed originator)."
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1; universal handle for entity name on this filing.
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($50 base per page-0 header plus expedite premium).
Name of contact person,2,text,(Name of contact person),filing.contact.name,high,Contact name.
Daytime telephone number,2,text,(Daytime telephone number),filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,2,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
