widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
Text1,0,text,(Real Name of Limited Partnership),entity.name,high,Real (non-fictitious) name of the domestic LP. entity.name per the entity-name-vs-home-jurisdiction convention since this is a Maine-record termination filing.
Text2,0,text,SECOND: The limited partnership intends to terminate the assumed or fictitious name of,filing.terminated_fictitious_name,high,The specific assumed/fictitious name being terminated by this filing. Reuses the existing key from MLLP-5A / MLLC-5A (same termination-form primitive).
Text3,0,text,DATED ___,filing.date_signed,high,"Signing date. Reviewer corrected drafter's mis-mapping of this widget as 'general_partner_1.signature' — the rect is positioned to the right of the 'GENERAL PARTNER(S)*' header block at the top of the signature row, matching the form's 'DATED ___' line. Narrow widget (~131pt wide) sized for a date entry (vs Text4 ~253pt wide for a name)."
Text4,0,text,GENERAL PARTNER(S)* — (type or print name),filing.signer.printed_name,high,"Printed name of the individual general partner signer — Shape B per filing-signer-shape convention (single-widget name-only, no title field; capacity is implied by the form's '*Statement MUST be signed by at least one general partner' footnote). Reviewer corrected drafter's general_partner_1.printed_name mapping: the form structure mirrors MLLP-5A (single-slot signer, post-formation termination) which uses filing.signer.* not the role-keyed multi-slot pattern. The 'general partner' label on this LP termination form is the LP-statute analog of MLLP-5A's 'partner' label — both forms map to filing.signer.* (single slot)."
Text5,0,text,For General Partner(s) which are Entities — Name of Entity,filing.signer_entity.name,high,Name of an entity general partner when the signer is itself a corporation/LLC/LP rather than an individual. Single-slot — same key family as MLLP-5A's filing.signer_entity.name.
Text6,0,text,For General Partner(s) which are Entities — By ___ (authorized signature) / (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,Combined name+capacity of the natural person signing on behalf of the entity general partner. Same Shape-D primitive as filing.signer.printed_name_and_capacity but scoped under filing.signer_entity.* — matches MLLP-5A's pattern.
Name of entity,1,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (cover-letter primitive).
Name of entitys on the submitted filings 2,1,text,Name of entity(s) on the submitted filings [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,1,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,1,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,1,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,1,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($20 base per page-0 'Filing Fee $20.00' header plus expedite premium).
Name of contact person,1,text,(Name of contact person),filing.contact.name,high,Filing-contact name.
Daytime telephone number,1,text,(Daytime telephone number),filing.contact.phone,high,Filing-contact phone.
Contact email address for this filing,1,text,(Contact email address for this filing),filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,1,text,(Email address to use for annual report reminders),entity.annual_report_reminder_email,high,Annual-report reminder email.
Name of attested copy recipient,1,text,(Name of attested copy recipient),filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,1,text,(Firm or Company),filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,1,text,(Mailing Address),filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,1,text,"(City, State & Zip)",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
