widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
1,0,text,"[top recital, line 1] (corporation name) — the merging corporation",merger.merging_corp.name,high,Top recital line 1 — the name of the corporation that is merging INTO the surviving corp. Wide widget (rect width ~258pt). Drafter originally swapped names/jurisdictions across fields 1-4 — corrected here.
2,0,text,(A corporation organized under the laws of) ___ [merging corp jurisdiction blank],merger.merging_corp.home_jurisdiction,high,Inline jurisdiction blank inside the parenthetical descriptor that follows the merging-corp name. Narrow widget (rect width ~115pt) indented to right of center.
3,0,text,"INTO / [top recital, line 2] (corporation name) — the surviving corporation",merger.surviving_corp.name,high,Top recital line 2 (after the 'INTO' header) — the name of the corporation that survives the merger. Wide widget paralleling field 1.
4,0,text,(A corporation organized under the laws of) ___ [surviving corp jurisdiction blank],merger.surviving_corp.home_jurisdiction,high,Inline jurisdiction blank for the surviving corporation in the top recital.
Check Box4,0,checkbox,"FIRST: (""X"" one box only.) If the surviving corporation is a Maine corporation: [ ] public benefit corporation",merger.surviving_corp.benefit_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=293.3); enum_select value 'public_benefit'.
Check Box5,0,checkbox,"FIRST: (""X"" one box only.) If the surviving corporation is a Maine corporation: [ ] mutual benefit corporation",merger.surviving_corp.benefit_type,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=293.7); enum_select value 'mutual_benefit'.
7,0,text,SECOND: The laws of the State(s) of ___ under which the foreign corporation(s) is (are) organized permit such merger,merger.foreign_corp_states,high,"Free-text list of state(s) whose laws permit the merger (foreign corp's home jurisdiction(s)). When there is one foreign party, this restates merger.merging_corp.home_jurisdiction or merger.surviving_corp.home_jurisdiction (whichever is foreign). Multiple foreign corps possible."
8,0,text,THIRD: The name of the surviving corporation is,merger.surviving_corp.name,high,THIRD-paragraph re-statement of the surviving corp's name. Same canonical key as field 3 — synth must populate consistently.
9,0,text,THIRD: ... and it is to be governed by the laws of the State of,merger.surviving_corp.home_jurisdiction,high,THIRD-paragraph re-statement of the surviving corp's governing law. Same canonical key as field 4.
10,0,text,THIRD: ... the address to which the Secretary of State shall mail a copy of any process in such proceeding is,merger.surviving_corp.service_of_process_address,high,Service-of-process address for the surviving corp — only required when the surviving corp is foreign (so Maine SOS knows where to forward process). Single-line combined address.
Text7,0,text,FOURTH: The plan of merger is set forth in Exhibit ___ attached hereto and made a part hereof,merger.plan_exhibit_letter,high,Inline exhibit-letter blank for the plan-of-merger document. Matches NP_MNPCA-10's merger.plan_exhibit_letter.
12,0,text,"FIFTH: ('X' one box only.) As to the domestic corporation, the plan of merger was adopted in the following manner: Name of Corporation",merger.domestic_corp.name,high,Name of the domestic (Maine) corporation whose adoption is being recited. Only one adoption recital because only the domestic corp's adoption method is governed by Maine law; foreign corp adoption is governed by foreign law. This restates whichever of merger.merging_corp.name or merger.surviving_corp.name is the Maine party.
Check Box8,0,checkbox,"FIFTH: [ ] By the members at a meeting on (date) ___, at which a quorum was present and such plan received at least a majority of the votes which members were entitled to cast.",merger.domestic_corp.vote_method,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=568.9); enum_select value 'majority_member_vote'. FIFTH option 1: enum value 'majority_member_vote'. Same enum values as NP_MNPCA-10's merger.parties[N].vote_method.
14,0,text,FIFTH option 1 (date),merger.domestic_corp.vote_method_date,high,"Date paired with FIFTH option 1 (majority member vote). All four date fields (14, 16, 18, 20) bind to the same canonical key — only the date for the selected option is filled."
Check Box9,0,checkbox,"FIFTH: [ ] If the Articles of Incorporation require more than a majority vote, by the members at a meeting on (date) ___, and such plan received at least the percentage of votes of the members required by the Articles of Incorporation.",merger.domestic_corp.vote_method,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=606.0); enum_select value 'supermajority_member_vote'. FIFTH option 2: enum value 'supermajority_member_vote'.
16,0,text,FIFTH option 2 (date),merger.domestic_corp.vote_method_date,high,Date paired with FIFTH option 2 (supermajority member vote).
Check Box10,0,checkbox,"FIFTH: [ ] By the written consent of all members entitled to vote with respect thereto, dated ___, without resolution of the board of directors.",merger.domestic_corp.vote_method,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=652.3); enum_select value 'written_consent_of_members'. FIFTH option 3: enum value 'written_consent_of_members'.
18,0,text,FIFTH option 3 (date),merger.domestic_corp.vote_method_date,high,Date paired with FIFTH option 3 (written consent).
Check Box11,0,checkbox,"FIFTH: [ ] There being no members, or no members entitled to vote thereon, the plan was adopted by a majority vote of the board of directors in office at a meeting held on ___.",merger.domestic_corp.vote_method,high,Independent checkbox (on-state Yes) verified by geometry+text on page 0 (y=688.9); enum_select value 'board_of_directors_majority_vote'. FIFTH option 4: enum value 'board_of_directors_majority_vote' (used when there are no voting members).
20,0,text,FIFTH option 4 (date),merger.domestic_corp.vote_method_date,high,Date paired with FIFTH option 4 (board majority vote).
21,1,text,SIXTH: The address of the registered office of the surviving corporation in the State of Maine is ___ [trailing inline blank],merger.surviving_corp.registered_office_address_line1,medium,Narrow trailing blank ending the SIXTH paragraph 1 sentence. Combined with line2 (field 22) for the full address. Matches NP_MNPCA-10's address_line1/line2 split.
22,1,text,"SIXTH: (street, city, state and zip code) — surviving corp",merger.surviving_corp.registered_office_address_line2,high,"Wide labeled line below the SIXTH paragraph for the surviving corp's Maine registered-office address (street, city, state, zip)."
23,1,text,SIXTH: The address of the registered office of the merged corporation in the State of Maine is ___ [trailing inline blank],merger.merging_corp.registered_office_address_line1,medium,Narrow trailing blank for SIXTH paragraph 2.
24,1,text,"SIXTH: (street, city, state and zip code) — merged corp",merger.merging_corp.registered_office_address_line2,high,Wide labeled line for the merged (merging) corp's Maine registered-office address.
25,1,text,SEVENTH: Effective date of the merger (if later than date of filing of Articles) is ___ (Not to exceed 60 days from date of filing of the Articles),merger.future_effective_date,high,Optional future effective date capped at 60 days post-filing (matches NP_MNPCA-10/10A).
26,1,text,DATED ___ [surviving corp signature block date],merger.surviving_corp.signature_block.date_signed,high,Date the surviving corp signed. Per-corporation date (not the universal filing.date_signed) because each corp's officers may sign on different dates. Matches NP_MNPCA-10's pattern.
27,1,text,(surviving corporation) — corp-name underline next to DATED row,merger.surviving_corp.signature_block.corporation_name,high,"Right-side blank labeled '(surviving corporation)' on the DATED row — restates the surviving corp's name. Field has read-only flag (4194304) on this template, suggesting the SOS template intends this to be auto-filled from field 3; in practice the filler must populate it explicitly to match merger.surviving_corp.name."
28,1,text,**By (signature) ___ / (type or print name and capacity) — surviving corp signer 1,merger.surviving_corp.signature_block.signer_1.printed_name_and_capacity,high,Surviving corp signer 1 — Shape D (printed name + capacity combined). The (signature) line is wet-ink only (no AcroForm widget). 13-B MRSA §906 requires officer signature.
29,1,text,**By (signature) ___ / (type or print name and capacity) — surviving corp signer 2,merger.surviving_corp.signature_block.signer_2.printed_name_and_capacity,high,"Surviving corp signer 2. Two signer slots per party because some entity types under 13-B MRSA require two signers (e.g., president + clerk)."
30,1,text,DATED ___ [merged corp signature block date],merger.merging_corp.signature_block.date_signed,high,Date the merging (merged) corp signed.
31,1,text,(merged corporation) — corp-name underline next to DATED row,merger.merging_corp.signature_block.corporation_name,high,Right-side blank labeled '(merged corporation)' on the second DATED row. Restates the merging corp's name.
32,1,text,**By (signature) ___ / (type or print name and capacity) — merged corp signer 1,merger.merging_corp.signature_block.signer_1.printed_name_and_capacity,high,Merging corp signer 1.
33,1,text,**By (signature) ___ / (type or print name and capacity) — merged corp signer 2,merger.merging_corp.signature_block.signer_2.printed_name_and_capacity,high,Merging corp signer 2.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1 (typically populated with the surviving corp's name).
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2 (typically populated with the merging corp's name).
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day'.
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day'.
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total fees ($25 minimum per page-0 header) plus expedite premium.
