widget_id,page,field_type,label_verbatim,canonical_key,confidence,rationale
12a1,0,text,(Name of Limited Liability Partnership in Jurisdiction of Organization) — top-of-form identifier,entity.home_jurisdiction_name_on_record,high,"Top-of-form recital widget reciting the foreign LLP's name as it currently appears on the SOS record (used to locate the existing record being amended). Matches the on_record/new convention from CORP_MBCA-12A: top-of-form holds the on-record name, FIRST holds the post-amendment name."
12a2,0,text,"FIRST: The name of the limited liability partnership in its jurisdiction of organization has been changed to ___ (If no change, so indicate.)",entity.home_jurisdiction_name,high,"NEW home-jurisdiction name post-amendment. May contain literal 'No change' (or be left empty per the form's 'If no change, so indicate' convention)."
12a3,0,text,"SECOND: If the real limited liability partnership name is not available, the fictitious name under which it proposes to apply for authority to do business in the State of Maine is ___ (If applicable, so indicate.)",entity.maine_fictitious_name,high,Fictitious Maine name (per 31 MRSA §803-A). Same key as MLLC-12 / FICT-4.
Check Box4,0,text,[ ] Form FICT-4 accompanies this application.,filing.fict4_accompanies,high,Boolean indicating Form FICT-4 (fictitious name registration) is bundled. Reuses MLLC-12 / MBCA-12 convention.
12a5,0,text,"THIRD: The nature of the business or purposes to be conducted or promoted in the State of Maine is ___ (If no change, so indicate.)",entity.maine_business_purpose,high,Free-text Maine-business-purpose statement. Same key as MLLC-12. May contain 'No change' literal.
12a6,0,text,"FOURTH: The new address of the registered or principal office, wherever located, is: (If no change, so indicate.) (physical location - street (not P.O. Box), city, state and zip code)",entity.principal_office.physical_address,high,"NEW physical address of the principal office (single-line, no P.O. Box). Same key as MLLC-12 / MBCA-12."
12a7,0,text,(mailing address if different from above),entity.principal_office.mailing_address,high,Optional mailing address of the principal office. Same key as MLLC-12 / MBCA-12.
12a8,1,text,"FIFTH: The name and or the business, residence or mailing address of the contact partner has been changed to: (If no change, so indicate.) — Name",contact_partner.name,high,NEW name of the LLP's contact partner. Same key as MLLP-1's contact_partner.name (single-row variant — MLLP-12A doesn't show an additional-partners overflow checkbox).
12a9,1,text,FIFTH: ...Address,contact_partner.address,high,NEW address of the contact partner. Single-line combined business/residence/mailing address.
12a10,1,text,"SIXTH: Other amendments to the application, if any, are set forth in Exhibit ___ attached hereto and made a part hereof.",filing.other_amendments_exhibit_letter,high,Catch-all exhibit letter for other amendments not captured by FIRST–FIFTH. Reuses LP_MLPA-12A / CORP_MBCA-12A convention (preferred over the proposed-but-unused 'additional_amendments_exhibit_letter' alias).
12a11,1,text,DATED ___,filing.date_signed,high,Date of signature.
12a12,1,text,Partner(s)* (signature) — (type or print name and capacity),filing.signer.printed_name_and_capacity,high,Individual-partner signer printed name + capacity. Shape D. Used when an individual partner signs (option (1) of the footnote: 'at least one partner').
12a13,1,text,For Partner(s) which are Entities — Name of Entity,filing.signer_entity.name,high,"Name of an entity-partner when the signer is itself a corporate/LLC partner. Same key as GP_MPA-1, LLP_MLLP-17 entity-signer block."
12a14,1,text,For Partner(s) which are Entities — By ___ (authorized signature) / (type or print name and capacity),filing.signer_entity.signer_printed_name_and_capacity,high,Combined name+capacity of the natural person signing on behalf of the entity-partner. Same primitive as filing.signer.printed_name_and_capacity but scoped under filing.signer_entity to indicate the signer acts for an entity-partner.
Name of entity,2,text,Name of entity(s) on the submitted filings [1],filing.entities[0].name,high,Cover-letter row 1.
Name of entitys on the submitted filings 2,2,text,Name of entity [2],filing.entities[1].name,high,Cover-letter row 2.
Check Box14,2,text,Hold attested copy for pick up,filing.expedited_service,high,Expedite tier 'hold_for_pickup'.
Check Box15,2,text,24-hour expedited filing,filing.expedited_service,high,Expedite tier '24h_next_business_day' ($50 additional).
Check Box16,2,text,Immediate expedited filing,filing.expedited_service,high,Expedite tier 'immediate_same_day' ($100 additional).
Total fees enclosed,2,text,Total fee(s) enclosed: $,filing.total_fees_dollars,high,Total enclosed fees.
Name of contact person,2,text,Name of contact person,filing.contact.name,high,Contact name.
Daytime telephone number,2,text,Daytime telephone number,filing.contact.phone,high,Contact phone.
Contact email address for this filing,2,text,Contact email address for this filing,filing.contact.email,high,Filing-specific contact email.
Email address to use for annual report reminders,2,text,Email address to use for annual report reminders,entity.annual_report_reminder_email,high,Persistent annual-report reminder email.
Name of attested copy recipient,2,text,Name of attested copy recipient,filing.attested_copy_recipient.name,high,Recipient name.
Firm or Company,2,text,Firm or Company,filing.attested_copy_recipient.firm,high,Recipient firm.
Mailing Address,2,text,Mailing Address,filing.attested_copy_recipient.mailing_address.street,high,Recipient street.
City State  Zip,2,text,"City, State & Zip",filing.attested_copy_recipient.mailing_address.city_state_zip,high,Recipient city/state/zip combined.
